Movie_Title,Year,Score,Adjusted_Score,Director,Cast,Synopsis,Cnsensus
Fist of Fury (Jing wu men),1972,92,92.809,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker", Bruce Lee stars as a martial arts expert who vows vengeance when his kung fu master is murdered. He discovers...,No consensus yet.
Captain America: The Winter Soldier,2014,90,101.765,"Joe Russo, Anthony Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie"," After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into...","Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards."
Oldboy,2005,82,86.608,Park Chan-wook,"Choi Min-sik, Gang Hye-jeong, Yoo Ji-tae, Gang Hye-jung", South Korean filmmaker Park Chan-wook directed this violent and offbeat story of punishment and vengeance. Oh Dae-su (Choi Min-sik) is...,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge."
The French Connection,1971,98,104.292,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi"," This gritty, fast-paced, and innovative police drama earned five Academy Awards, including Best Picture, Best Adapted Screenplay (written by Ernest...","Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production."
Furious 7,2015,81,91.225,James Wan,"Vin Diesel, Paul Walker, Jason Statham, Dwayne Johnson"," Continuing the global exploits in the unstoppable franchise built on speed, Vin Diesel, Paul Walker and Dwayne Johnson lead the...","Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one."
La Femme Nikita (Nikita),1990,88,90.531,Luc Besson,"Tcheky Karyo, Anne Parillaud, Jeanne Moreau, Jean Reno"," The serpentine plotline of Luc Besson's La Femme Nikita begins its 117-minute slither when punkish, psychotic, and drug-ridden Nikita (Anne...",A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.
Supercop,1996,96,98.254,Stanley Tong,"Jackie Chan, Maggie Cheung, Kenneth Tsang Kong, Wah Yuen", A Hong Kong detective fights to stop a Chinese drug czar....,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers."
Dirty Harry,1971,89,93.658,Don Siegel,"Clint Eastwood, Andrew Robinson, Harry Guardino, John Mitchum"," ""You've got to ask yourself a question: 'do I feel lucky?' Well, do ya, punk?"" Dirty Harry provoked a critical...","As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact."
Live Die Repeat: Edge of Tomorrow,2014,90,102.588,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong"," The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the...","Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller."
X2: X-Men United,2003,85,92.174,Bryan Singer,"Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen"," When a failed assassination attempt occurs on the President's (Cotter Smith) life by the teleporting mutant Nightcrawler (Alan Cumming), it's...","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general."
